,time,Pload,Ppv,Pcharge,Pdischarge,Ptotal,state of charge,energy_charge_with_es,nem_charge_with_es,demand_charge_with_es,total_bill_with_es,energy_charge_without_es,nem_charge_without_es,demand_charge_without_es,total_bill_without_es
356,356,419.208340686,0.0,0.0,92.9430286865878,326.2653119994122,109.746598062588,19986.732752647735,0.0,5827.098472309498,25813.831224957234,19890.218094580843,0.0,7551.766789106239,27441.98488368708
357,357,396.01191006199997,0.0,0.0,69.7465980625877,326.2653119994123,40.0,19986.732752647735,0.0,5827.098472309498,25813.831224957234,19890.218094580843,0.0,7551.766789106239,27441.98488368708
358,358,318.58275691,0.0,0.0,0.0,318.58275691,40.0,19986.732752647735,0.0,5827.098472309498,25813.831224957234,19890.218094580843,0.0,7551.766789106239,27441.98488368708
359,359,222.375098275,0.0,0.0,0.0,222.375098275,40.0,19986.732752647735,0.0,5827.098472309498,25813.831224957234,19890.218094580843,0.0,7551.766789106239,27441.98488368708
360,360,171.17592210200002,0.0,0.0,0.0,171.17592210200002,40.0,19986.732752647735,0.0,5827.098472309498,25813.831224957234,19890.218094580843,0.0,7551.766789106239,27441.98488368708
361,361,165.123552734,0.0,0.0,0.0,165.123552734,40.0,19986.732752647735,0.0,5827.098472309498,25813.831224957234,19890.218094580843,0.0,7551.766789106239,27441.98488368708
362,362,143.134046849,0.0,0.0,0.0,143.134046849,40.0,19986.732752647735,0.0,5827.098472309498,25813.831224957234,19890.218094580843,0.0,7551.766789106239,27441.98488368708
363,363,139.435956195,0.0,91.3082438904697,0.0,230.74420008546969,117.612007306899,19986.732752647735,0.0,5827.098472309498,25813.831224957234,19890.218094580843,0.0,7551.766789106239,27441.98488368708
364,364,146.30887720299998,0.0,100.0,0.0,246.30887720299998,202.612007306899,19986.732752647735,0.0,5827.098472309498,25813.831224957234,19890.218094580843,0.0,7551.766789106239,27441.98488368708
365,365,160.437209045,0.0,100.0,0.0,260.43720904500003,287.612007306899,19986.732752647735,0.0,5827.098472309498,25813.831224957234,19890.218094580843,0.0,7551.766789106239,27441.98488368708
366,366,252.591389913,0.0,73.6739220864122,0.0,326.26531199941223,350.23484108035,19986.732752647735,0.0,5827.098472309498,25813.831224957234,19890.218094580843,0.0,7551.766789106239,27441.98488368708
367,367,314.776889741,0.0,11.4884222584122,0.0,326.2653119994122,360.0,19986.732752647735,0.0,5827.098472309498,25813.831224957234,19890.218094580843,0.0,7551.766789106239,27441.98488368708
368,368,375.51493148800006,0.260864,0.0,48.9887554885878,326.26531199941223,311.011244511412,19986.732752647735,0.0,5827.098472309498,25813.831224957234,19890.218094580843,0.0,7551.766789106239,27441.98488368708
369,369,330.09882083400004,4.571747,0.0,0.0,325.527073834,311.011244511412,19986.732752647735,0.0,5827.098472309498,25813.831224957234,19890.218094580843,0.0,7551.766789106239,27441.98488368708
370,370,276.019744671,0.485441,0.0,0.0,275.53430367100003,311.011244511412,19986.732752647735,0.0,5827.098472309498,25813.831224957234,19890.218094580843,0.0,7551.766789106239,27441.98488368708
371,371,267.896401717,16.326319,0.0,0.0,251.570082717,311.011244511412,19986.732752647735,0.0,5827.098472309498,25813.831224957234,19890.218094580843,0.0,7551.766789106239,27441.98488368708
372,372,266.80069880599996,8.811834000000001,0.0,0.0,257.988864806,311.011244511412,19986.732752647735,0.0,5827.098472309498,25813.831224957234,19890.218094580843,0.0,7551.766789106239,27441.98488368708
373,373,255.079737652,2.904395,0.0,0.0,252.175342652,311.011244511412,19986.732752647735,0.0,5827.098472309498,25813.831224957234,19890.218094580843,0.0,7551.766789106239,27441.98488368708
374,374,254.612978795,6.43194,0.0,0.0,248.181038795,311.011244511412,19986.732752647735,0.0,5827.098472309498,25813.831224957234,19890.218094580843,0.0,7551.766789106239,27441.98488368708
375,375,256.29893743,3.496895,15.1071721053255,0.0,267.90921453532553,323.852340800939,19986.732752647735,0.0,5827.098472309498,25813.831224957234,19890.218094580843,0.0,7551.766789106239,27441.98488368708
376,376,284.294483679,3.706195,0.0,0.0,280.588288679,323.852340800939,19986.732752647735,0.0,5827.098472309498,25813.831224957234,19890.218094580843,0.0,7551.766789106239,27441.98488368708
377,377,311.240167091,0.442,0.0,0.0,310.798167091,323.852340800939,19986.732752647735,0.0,5827.098472309498,25813.831224957234,19890.218094580843,0.0,7551.766789106239,27441.98488368708
378,378,386.560624765,0.0,0.0,60.2953127655878,326.2653119994122,263.557028035351,19986.732752647735,0.0,5827.098472309498,25813.831224957234,19890.218094580843,0.0,7551.766789106239,27441.98488368708
379,379,391.95453965699994,0.0,0.0,65.6892276575877,326.26531199941223,197.867800377763,19986.732752647735,0.0,5827.098472309498,25813.831224957234,19890.218094580843,0.0,7551.766789106239,27441.98488368708
380,380,403.44183460000005,0.0,0.0,77.1765226005878,326.26531199941223,120.691277777176,19986.732752647735,0.0,5827.098472309498,25813.831224957234,19890.218094580843,0.0,7551.766789106239,27441.98488368708
381,381,393.64444598800003,0.0,0.0,67.3791339885878,326.26531199941223,53.3121437885878,19986.732752647735,0.0,5827.098472309498,25813.831224957234,19890.218094580843,0.0,7551.766789106239,27441.98488368708
382,382,339.577455788,0.0,0.0,13.3121437885878,326.26531199941223,40.0,19986.732752647735,0.0,5827.098472309498,25813.831224957234,19890.218094580843,0.0,7551.766789106239,27441.98488368708
383,383,241.514238718,0.0,0.0,0.0,241.514238718,40.0,19986.732752647735,0.0,5827.098472309498,25813.831224957234,19890.218094580843,0.0,7551.766789106239,27441.98488368708
384,384,189.898419359,0.0,0.0,0.0,189.898419359,40.0,19986.732752647735,0.0,5827.098472309498,25813.831224957234,19890.218094580843,0.0,7551.766789106239,27441.98488368708
385,385,182.334815515,0.0,0.0,0.0,182.334815515,40.0,19986.732752647735,0.0,5827.098472309498,25813.831224957234,19890.218094580843,0.0,7551.766789106239,27441.98488368708
386,386,160.157052305,0.0,0.0,0.0,160.157052305,40.0,19986.732752647735,0.0,5827.098472309498,25813.831224957234,19890.218094580843,0.0,7551.766789106239,27441.98488368708
387,387,157.495044148,0.0,18.2049052939728,0.0,175.69994944197282,55.4741694998769,19986.732752647735,0.0,5827.098472309498,25813.831224957234,19890.218094580843,0.0,7551.766789106239,27441.98488368708
388,388,164.732714964,0.0,100.0,0.0,264.732714964,140.474169499876,19986.732752647735,0.0,5827.098472309498,25813.831224957234,19890.218094580843,0.0,7551.766789106239,27441.98488368708
389,389,177.85108519,0.0,100.0,0.0,277.85108519,225.474169499876,19986.732752647735,0.0,5827.098472309498,25813.831224957234,19890.218094580843,0.0,7551.766789106239,27441.98488368708
390,390,261.312432301,0.0,64.9528796984122,0.0,326.26531199941223,280.684117243527,19986.732752647735,0.0,5827.098472309498,25813.831224957234,19890.218094580843,0.0,7551.766789106239,27441.98488368708
391,391,331.367714128,0.0,0.0,5.10240212858776,326.26531199941223,275.581715114939,19986.732752647735,0.0,5827.098472309498,25813.831224957234,19890.218094580843,0.0,7551.766789106239,27441.98488368708
392,392,376.41774242,0.0,0.0,50.1524304205878,326.26531199941223,225.429284694351,19986.732752647735,0.0,5827.098472309498,25813.831224957234,19890.218094580843,0.0,7551.766789106239,27441.98488368708
