Node ID,Node Name,Zone ID,Reserve ID
760,UN.LOUDEN  34.5NGOR,4001,7000
4187,LD.LOUDEN  34.5,4001,7000
4193,LD.LOVELL  34.5,4001,7000
465,UN.LOWRDFLD69  LOWD,4007,7000
4313,LD.LOWRDFLD69,4007,7000
38173,UN.LUDDN_LN34.5SADW,4001,7000
38738,UN.LUDDN_LN34.5CANW,4001,7000
4489,LD.LUDLOW  13.8,4007,7000
36981,LD.LYNDONVL34.5,4003,7000
4336,LD.LYNN    23,4008,7003
16846,LD.LYNN    13.8,4008,7003
4418,LD.MADBURY 34.5,4002,7000
4136,LD.MADISON 13.8,4001,7000
37150,LD.MADISON 34.5,4001,7000
50636,UN.MADISON 13.8MADH,4001,7000
13627,LD.ME_YK   13.2,4001,7000
4404,LD.MAMOTHRD34.5,4002,7000
4491,LD.MANCHSTR23,4004,7002
4231,LD.MANOMET 23,4006,7000
4480,LD.MANSFLD 13.8,4006,7000
4334,LD.MAPLWOOD13.8,4008,7003
4237,LD.MARSHFEL23,4006,7000
4227,LD.MASHPEE 23,4006,7000
4128,LD.MASON   34.5,4001,7000
4878,LD.MAYNARD 13.8110A LD,4008,7003
4879,LD.MAYNARD 13.8110B LD,4008,7003
472,UN.MBTA    14.4MBTA,4008,7003
4093,LD.MBTA    14.4,4008,7003
4273,LD.MEABROOK23.0,4007,7000
47997,LD.MEABROOK13.2,4007,7000
4145,LD.MEADW_RD34.5,4001,7000
47077,LD.MEADOWST69,4007,7000
4119,LD.MEDWAY  13.8,4006,7000
50115,UN.MEDWAY  13.8WMJ4,4006,7000
50116,UN.MEDWAY  13.8WMJ5,4006,7000
4259,LD.MELROSE 23,4008,7003
12104,LD.MELROSE 13.8,4008,7003
42608,LD.MEMORIAL13.8,4007,7000
382,UN.MERIMACK13.8CT-1,4002,7000
383,UN.MERIMACK13.8CT-2,4002,7000
489,UN.MERIMACK13.8MK1,4002,7000
490,UN.MERIMACK23.0MK2,4002,7000
42609,LD.MICHL_AV13.2,4002,7000
4374,LD.M_WEYMTH13.8,4006,7000
4597,LD.MIDLE_RV13.8,4004,7001
4880,LD.MIDDL_ST13.8T1 LD,4006,7000
4881,LD.MIDDL_ST13.8T2 LD,4006,7000
48670,LD.MIDDLEST34.5,4001,7000
48671,LD.MIDDLEST12.5,4001,7000
